Car Name,Range (km),Battery (kWh),Efficiency (Wh/km),Towing Capacity (kg),Fast Charging Speed (kW),Weight (kg),0-100 km/h (s),Stop Range (km),Price per Range (€),Cargo Volume (L),German Price (€),Dutch Price (€),UK Price (£)
CUPRA Tavascan Endurance,445 km,"77,0 kWh",173 Wh/km,1.000 kg,120 kW,2.178 kg,"6,8 sec",467 km,€120 /km,540 L,"€56,210","€48,990","£47,340"
Tesla Model X 100D,435 km,"95,0 kWh",218 Wh/km,2.250 kg,100 kW,2.533 kg,"4,9 sec",434 km,€259 /km,unknown,"€115,000","€117,820","£91,650"
Volkswagen ID.7 GTX,485 km,"86,0 kWh",177 Wh/km,1.200 kg,145 kW,2.328 kg,"5,4 sec",546 km,€139 /km,532 L,"€63,155","€67,990","£61,980"
Hongqi E-HS9 99 kWh,370 km,"90,0 kWh",243 Wh/km,1.500 kg,112 kW,2.705 kg,"4,9 sec",367 km,€216 /km,438 L,N/A,"€79,995",N/A
BMW i4 eDrive35,430 km,"67,0 kWh",156 Wh/km,1.600 kg,95 kW,2.065 kg,"6,0 sec",487 km,€134 /km,470 L,"€56,500","€59,362","£49,995"
Mercedes-Benz EQA 250+,420 km,"70,5 kWh",168 Wh/km,1.500 kg,90 kW,2.055 kg,"8,6 sec",414 km,€129 /km,340 L,"€52,205","€52,546","£49,750"
Hyundai IONIQ 5 84 kWh AWD,440 km,"80,0 kWh",182 Wh/km,1.600 kg,205 kW,2.175 kg,"5,3 sec",549 km,€136 /km,544 L,"€59,400","€61,395","£50,900"
MG Cyberster GT,400 km,"74,4 kWh",186 Wh/km,unknown,85 kW,2.000 kg,"3,2 sec",415 km,€174 /km,249 L,"€69,990","€69,990","£59,995"
Lucid Air Grand Touring,665 km,"112,0 kWh",168 Wh/km,0 kg,184 kW,2.435 kg,"3,0 sec",763 km,€196 /km,739 L,"€129,000","€132,000",N/A
Peugeot e-5008 73 kWh,370 km,"73,0 kWh",197 Wh/km,1.000 kg,90 kW,2.218 kg,"9,7 sec",388 km,€140 /km,348 L,"€51,150","€48,415","£48,650"
Volvo EX30 Single Motor,275 km,"49,0 kWh",178 Wh/km,1.000 kg,80 kW,1.840 kg,"5,7 sec",306 km,€136 /km,325 L,"€39,790","€34,995","£32,850"
Hyundai IONIQ 5 Standard Range 2WD,295 km,"54,0 kWh",183 Wh/km,750 kg,140 kW,1.905 kg,"8,5 sec",367 km,€162 /km,588 L,"€43,900","€49,295","£43,445"
Hyundai IONIQ 6 Long Range AWD,440 km,"74,0 kWh",168 Wh/km,1.500 kg,200 kW,2.095 kg,"5,1 sec",568 km,€135 /km,416 L,"€61,100","€59,395","£50,540"
Zeekr 001 Long Range RWD,505 km,"94,0 kWh",186 Wh/km,1.500 kg,135 kW,2.275 kg,"7,2 sec",547 km,€119 /km,539 L,"€60,970","€59,490",N/A
Volkswagen ID.3 Pure,320 km,"52,0 kWh",163 Wh/km,0 kg,90 kW,1.787 kg,"8,2 sec",361 km,€113 /km,385 L,"€36,900","€35,990","£30,850"
Hyundai IONIQ 5 Long Range AWD,385 km,"74,0 kWh",192 Wh/km,1.600 kg,200 kW,2.120 kg,"5,1 sec",484 km,€154 /km,551 L,"€59,200","€60,995","£50,445"
Lexus UX 300e,340 km,"64,0 kWh",188 Wh/km,0 kg,35 kW,1.885 kg,"7,5 sec",289 km,€135 /km,316 L,N/A,N/A,"£39,995"
Porsche Macan 4 Electric,485 km,"95,0 kWh",196 Wh/km,2.000 kg,200 kW,2.405 kg,"5,2 sec",580 km,€174 /km,624 L,"€84,100","€88,899","£69,800"
Polestar 4 Long Range Single Motor,495 km,"94,0 kWh",190 Wh/km,1.500 kg,135 kW,2.305 kg,"7,4 sec",533 km,€133 /km,541 L,"€63,200","€64,800","£59,990"
Opel Mokka-e 50 kWh,260 km,"46,3 kWh",178 Wh/km,0 kg,78 kW,1.598 kg,"9,2 sec",285 km,€154 /km,310 L,"€40,650","€36,999","£36,610"
Hyundai IONIQ 5 N,390 km,"80,0 kWh",205 Wh/km,0 kg,205 kW,2.225 kg,"3,4 sec",482 km,€191 /km,480 L,"€74,900","€73,995","£65,000"
BMW i4 eDrive35,430 km,"67,1 kWh",156 Wh/km,1.600 kg,95 kW,2.075 kg,"6,0 sec",486 km,€137 /km,470 L,"€57,500","€59,728","£51,270"
Tesla Model 3 Long Range Dual Motor,490 km,"76,0 kWh",155 Wh/km,1.000 kg,135 kW,1.919 kg,"4,4 sec",584 km,€117 /km,649 L,"€55,260","€58,990",N/A
Voyah Free 106 kWh,480 km,"100,0 kWh",208 Wh/km,2.000 kg,80 kW,2.415 kg,"4,4 sec",433 km,€138 /km,622 L,N/A,"€66,190",N/A
Polestar 2 Long Range Single Motor,475 km,"79,0 kWh",166 Wh/km,1.500 kg,125 kW,2.075 kg,"6,2 sec",533 km,€112 /km,448 L,"€52,690","€51,200","£48,950"
Volvo EX30 Cross Country,320 km,"64,0 kWh",200 Wh/km,1.600 kg,114 kW,1.983 kg,"3,7 sec",361 km,€172 /km,325 L,"€57,290","€52,995",N/A
Volkswagen ID.3 Pro,350 km,"58,0 kWh",166 Wh/km,0 kg,82 kW,1.812 kg,"9,6 sec",378 km,€104 /km,385 L,"€35,460","€38,390","£30,700"
Hyundai IONIQ 6 Standard Range 2WD,335 km,"50,0 kWh",149 Wh/km,750 kg,120 kW,1.850 kg,"8,8 sec",418 km,€134 /km,446 L,"€43,900","€45,895",N/A
MG MG4 Electric 77 kWh,425 km,"74,4 kWh",175 Wh/km,500 kg,110 kW,1.826 kg,"6,5 sec",454 km,€101 /km,363 L,"€45,990","€41,285","£36,495"
Honda e ,170 km,"28,5 kWh",168 Wh/km,0 kg,32 kW,1.588 kg,"9,0 sec",169 km,€215 /km,171 L,"€33,850","€36,160","£34,365"
Skoda Enyaq iV 60,340 km,"58,0 kWh",171 Wh/km,1.000 kg,82 kW,1.965 kg,"8,7 sec",361 km,€129 /km,585 L,"€42,100","€44,990","£38,970"
Smart #1 Pro+,335 km,"62,0 kWh",185 Wh/km,1.600 kg,100 kW,1.863 kg,"6,7 sec",364 km,€126 /km,338 L,"€42,490","€42,400","£35,950"
BYD SEALION 7 82.5 kWh AWD Design,405 km,"82,5 kWh",204 Wh/km,1.500 kg,115 kW,2.315 kg,"4,5 sec",425 km,€138 /km,578 L,"€53,990","€53,690","£51,990"
CUPRA Tavascan VZ,425 km,"77,0 kWh",181 Wh/km,1.200 kg,120 kW,2.273 kg,"5,5 sec",446 km,€144 /km,540 L,"€60,780","€58,990","£55,935"
Omoda E5 ,345 km,"61,0 kWh",177 Wh/km,unknown,60 kW,1.785 kg,"7,6 sec",329 km,€110 /km,380 L,N/A,N/A,"£33,055"
Volvo EX30 Twin Motor Performance,335 km,"64,0 kWh",191 Wh/km,1.600 kg,114 kW,1.960 kg,"3,6 sec",378 km,€149 /km,325 L,"€51,690","€47,795","£43,350"
Kia EV6 Long Range AWD,450 km,"80,0 kWh",178 Wh/km,1.800 kg,205 kW,2.060 kg,"5,2 sec",558 km,€125 /km,510 L,"€53,990","€55,495","£52,075"
Volkswagen ID. Buzz Pro,345 km,"77,0 kWh",223 Wh/km,1.000 kg,115 kW,2.459 kg,"10,2 sec",368 km,€183 /km,1.121 L,"€64,581","€56,990","£59,035"
Peugeot e-2008 SUV ,260 km,"46,3 kWh",178 Wh/km,0 kg,78 kW,1.623 kg,"8,5 sec",285 km,€143 /km,434 L,"€35,450","€40,930","£30,730"
Volkswagen ID.4 Pure,285 km,"52,0 kWh",182 Wh/km,1.000 kg,87 kW,1.991 kg,"9,0 sec",318 km,€146 /km,543 L,"€40,335","€42,990",N/A
Volkswagen e-Up! ,205 km,"32,3 kWh",158 Wh/km,0 kg,30 kW,1.248 kg,"11,9 sec",188 km,€136 /km,250 L,"€29,995","€25,850","£24,085"
Skoda Elroq 50,310 km,"52,0 kWh",168 Wh/km,1.000 kg,90 kW,1.949 kg,"9,0 sec",351 km,€114 /km,470 L,"€34,560","€34,990","£31,500"
Volkswagen ID.5 Pro,455 km,"77,0 kWh",169 Wh/km,1.000 kg,120 kW,2.143 kg,"6,7 sec",503 km,€118 /km,549 L,"€48,970","€53,990","£50,940"
Subaru Solterra AWD,320 km,"64,0 kWh",200 Wh/km,750 kg,100 kW,2.085 kg,"6,9 sec",347 km,€175 /km,441 L,"€57,490","€52,995","£49,995"
Tesla Model 3 Performance,460 km,"75,0 kWh",163 Wh/km,0 kg,124 kW,1.919 kg,"3,4 sec",543 km,€130 /km,649 L,"€57,668","€54,993","£57,990"
Volvo EX90 Twin Motor Performance,450 km,"107,0 kWh",238 Wh/km,2.200 kg,150 kW,2.811 kg,"4,9 sec",484 km,€230 /km,347 L,"€96,800","€98,495","£100,555"
Toyota bZ4X AWD,345 km,"64,0 kWh",186 Wh/km,750 kg,100 kW,2.075 kg,"6,9 sec",377 km,€160 /km,452 L,"€57,390","€52,995","£47,810"
Mercedes-Benz EQE 350+,555 km,"96,0 kWh",173 Wh/km,750 kg,141 kW,2.415 kg,"6,5 sec",597 km,€136 /km,430 L,"€71,412","€75,736","£68,360"
Audi e-tron GT quattro,420 km,"85,0 kWh",202 Wh/km,0 kg,216 kW,2.350 kg,"4,1 sec",529 km,€253 /km,490 L,"€106,050","€111,505","£87,800"
Tesla Model Y Long Range Dual Motor,425 km,"72,0 kWh",169 Wh/km,1.600 kg,108 kW,2.056 kg,"5,0 sec",484 km,€147 /km,971 L,"€59,965","€65,010",N/A
XPENG G6 AWD Performance,475 km,"87,5 kWh",184 Wh/km,unknown,180 kW,2.195 kg,"4,1 sec",565 km,€111 /km,571 L,"€51,600","€53,990",N/A
Volkswagen ID.3 Pro S,450 km,"77,0 kWh",171 Wh/km,0 kg,120 kW,1.962 kg,"7,1 sec",501 km,€100 /km,385 L,"€47,595","€42,990","£39,190"
Renault Zoe ZE50 R135,310 km,"52,0 kWh",168 Wh/km,0 kg,41 kW,1.577 kg,"9,5 sec",271 km,€117 /km,338 L,"€37,840","€36,195","£29,995"
Hyundai IONIQ 9 Long Range AWD,480 km,"106,0 kWh",221 Wh/km,2.500 kg,195 kW,2.700 kg,"6,7 sec",543 km,€151 /km,672 L,"* €73,000","* €70,000","* £65,000"
Nissan Leaf e+,345 km,"59,0 kWh",171 Wh/km,0 kg,44 kW,1.756 kg,"7,3 sec",297 km,€112 /km,420 L,"€37,550","€40,290","£32,945"
Tesla Model 3 Long Range Performance,440 km,"73,5 kWh",167 Wh/km,0 kg,163 kW,1.931 kg,"3,5 sec",543 km,€145 /km,542 L,"€61,480","€65,595","£56,490"
Hyundai IONIQ 5 63 kWh RWD,345 km,"60,0 kWh",174 Wh/km,750 kg,150 kW,1.965 kg,"8,5 sec",423 km,€128 /km,577 L,"€43,900","€42,995","£39,900"
Lexus RZ 450e,350 km,"64,0 kWh",183 Wh/km,750 kg,100 kW,2.130 kg,"5,6 sec",384 km,€183 /km,522 L,"€68,000","€59,995","£55,595"
Kia EV6 Long Range AWD,400 km,"74,0 kWh",185 Wh/km,1.600 kg,200 kW,2.090 kg,"5,2 sec",505 km,€146 /km,500 L,"€55,980","€59,995","£51,745"
CUPRA Born 170 kW - 77 kWh,450 km,"77,0 kWh",171 Wh/km,0 kg,115 kW,1.950 kg,"7,0 sec",488 km,€103 /km,385 L,"€46,450","€46,989","£39,625"
Tesla Model X Dual Motor,485 km,"95,0 kWh",196 Wh/km,2.250 kg,140 kW,2.415 kg,"3,9 sec",539 km,€220 /km,608 L,"€98,970","€100,990","* £105,000"
Zeekr 7X Premium RWD,390 km,"71,0 kWh",182 Wh/km,2.000 kg,240 kW,2.000 kg,"6,0 sec",504 km,€138 /km,605 L,N/A,"€53,990",N/A
Citroen e-C3 Aircross,250 km,"44,0 kWh",176 Wh/km,350 kg,60 kW,1.504 kg,"12,9 sec",260 km,€109 /km,460 L,"€26,490","€27,390","* £24,500"
Tesla Model S Long Range,530 km,"95,0 kWh",179 Wh/km,0 kg,110 kW,2.255 kg,"3,8 sec",561 km,€155 /km,894 L,"€79,990","€81,005","£74,980"
Porsche Taycan Plus,575 km,"97,0 kWh",169 Wh/km,0 kg,240 kW,2.245 kg,"4,8 sec",731 km,€188 /km,491 L,"€107,224","€113,044","£90,954"
Dacia Spring Electric 65,160 km,"25,0 kWh",156 Wh/km,0 kg,29 kW,1.040 kg,"13,7 sec",149 km,€119 /km,343 L,"€18,900","€19,950","£15,995"
BMW i3 94 Ah,165 km,"27,2 kWh",165 Wh/km,unknown,46 kW,1.320 kg,"7,3 sec",170 km,€218 /km,260 L,"€36,800","€38,227","£28,570"
Opel Astra Electric ,320 km,"50,8 kWh",159 Wh/km,0 kg,85 kW,1.736 kg,"9,2 sec",343 km,€131 /km,352 L,"€41,990","€39,999","£37,795"
Audi S6 Avant e-tron ,525 km,"94,9 kWh",181 Wh/km,2.100 kg,200 kW,2.410 kg,"3,9 sec",630 km,€201 /km,529 L,"€101,150","€101,490","£99,300"
Mercedes-Benz EQS 450+,635 km,"107,8 kWh",170 Wh/km,750 kg,173 kW,2.480 kg,"6,2 sec",703 km,€179 /km,610 L,"€109,551","€109,090","£105,610"
Tesla Model S P100D,475 km,"95,0 kWh",200 Wh/km,0 kg,100 kW,2.316 kg,"2,7 sec",477 km,€311 /km,895 L,"€145,420","€151,020","£127,750"
Porsche Taycan 4S,395 km,"71,0 kWh",180 Wh/km,0 kg,183 kW,2.215 kg,"4,0 sec",507 km,€272 /km,491 L,"€108,867","€114,200","£86,500"
Tesla Model S 85,405 km,"80,8 kWh",199 Wh/km,unknown,95 kW,2.175 kg,"5,6 sec",408 km,€220 /km,895 L,"€87,400","€90,600",N/A
Mercedes-Benz EQS 580 4MATIC,590 km,"108,4 kWh",184 Wh/km,750 kg,173 kW,2.635 kg,"4,3 sec",654 km,€267 /km,620 L,"€141,705","€173,825",N/A
Opel Frontera 44 kWh,250 km,"44,0 kWh",176 Wh/km,350 kg,60 kW,1.514 kg,"12,1 sec",263 km,€115 /km,460 L,"€28,990","€30,499","£23,495"
Audi A6 Sportback e-tron quattro,585 km,"94,9 kWh",162 Wh/km,2.100 kg,200 kW,2.360 kg,"4,7 sec",719 km,€137 /km,529 L,"€79,800","€79,990",N/A
BMW iX2 xDrive30,385 km,"64,7 kWh",168 Wh/km,1.200 kg,93 kW,2.095 kg,"5,6 sec",414 km,€157 /km,525 L,"€56,500","€59,350","£57,445"
Lucid Air Dream Edition R,685 km,"118,0 kWh",172 Wh/km,0 kg,185 kW,2.435 kg,"2,9 sec",786 km,€321 /km,739 L,"€218,000","€222,000",N/A
Renault Twingo Electric,135 km,"21,3 kWh",158 Wh/km,0 kg,0 kW,1.186 kg,"12,6 sec",92 km,€193 /km,174 L,"€28,000","€24,190",N/A
Volkswagen ID.7 Tourer Pro,470 km,"77,0 kWh",164 Wh/km,1.000 kg,125 kW,2.193 kg,"6,6 sec",535 km,€123 /km,605 L,"€54,795","€58,990","£52,240"
Maxus MIFA 9 ,365 km,"84,0 kWh",230 Wh/km,1.000 kg,103 kW,2.385 kg,"9,2 sec",346 km,€197 /km,521 L,"€68,990",N/A,"£65,290"
Kia EV6 GT,360 km,"74,0 kWh",206 Wh/km,1.800 kg,200 kW,2.200 kg,"3,5 sec",449 km,€198 /km,500 L,"€72,990","€69,295","£62,645"
Mini Cooper SE,330 km,"49,2 kWh",149 Wh/km,0 kg,75 kW,1.680 kg,"6,7 sec",356 km,€117 /km,200 L,"€36,900","€38,990","£34,500"
Ford Puma Gen-E ,275 km,"43,6 kWh",159 Wh/km,750 kg,85 kW,1.563 kg,"8,0 sec",312 km,€130 /km,566 L,"€36,900","€35,495","£29,995"
Tesla Model X Plaid,465 km,"95,0 kWh",204 Wh/km,2.250 kg,140 kW,2.539 kg,"2,7 sec",516 km,€264 /km,608 L,"€113,970","€115,990","* £120,000"
Polestar 4 Long Range Dual Motor,485 km,"94,0 kWh",194 Wh/km,2.000 kg,135 kW,2.430 kg,"3,8 sec",524 km,€152 /km,541 L,"€71,200","€72,800","£66,990"
Peugeot e-2008 54 kWh,300 km,"50,8 kWh",169 Wh/km,0 kg,85 kW,1.623 kg,"9,1 sec",324 km,€138 /km,434 L,"€40,000","€41,270","£37,300"
Skoda Enyaq Coupe 85,470 km,"77,0 kWh",164 Wh/km,1.000 kg,120 kW,2.145 kg,"6,7 sec",498 km,€108 /km,570 L,"€51,150","€47,990","£46,200"
BMW i4 M50,450 km,"81,3 kWh",181 Wh/km,1.600 kg,131 kW,2.290 kg,"3,9 sec",516 km,€173 /km,470 L,"€72,100","€77,999","£72,375"
Porsche Macan Electric,510 km,"95,0 kWh",186 Wh/km,2.000 kg,200 kW,2.295 kg,"5,7 sec",606 km,€159 /km,624 L,"€80,700","€85,300","£67,200"
Volvo EX90 Twin Motor,465 km,"107,0 kWh",230 Wh/km,2.200 kg,150 kW,2.811 kg,"5,9 sec",503 km,€209 /km,347 L,"€91,700","€88,995","£96,255"
Tesla Model S 90D,455 km,"85,5 kWh",188 Wh/km,unknown,90 kW,2.223 kg,"4,4 sec",449 km,€230 /km,895 L,"€103,320","€105,735",N/A
Tesla Model Y ,350 km,"57,5 kWh",164 Wh/km,1.600 kg,140 kW,1.992 kg,"6,9 sec",431 km,€137 /km,971 L,"€45,970","€45,990","£44,990"
Hyundai IONIQ 5 Long Range 2WD,370 km,"70,0 kWh",189 Wh/km,1.600 kg,185 kW,1.985 kg,"7,4 sec",459 km,€130 /km,588 L,"€45,900","€46,500","£45,400"
Mercedes-Benz EQE SUV 350 4MATIC,425 km,"89,0 kWh",209 Wh/km,1.800 kg,120 kW,2.580 kg,"6,6 sec",453 km,€230 /km,520 L,"€89,548","€99,089","£90,560"
Fiat 600e ,310 km,"50,8 kWh",164 Wh/km,0 kg,79 kW,1.595 kg,"9,0 sec",333 km,€116 /km,360 L,"€36,490","€32,990","£32,995"
Volkswagen e-Up! ,205 km,"32,3 kWh",158 Wh/km,0 kg,30 kW,1.235 kg,"11,9 sec",188 km,€118 /km,250 L,"€21,421","€25,850","£22,055"
Hyundai Kona Electric 48 kWh,295 km,"48,4 kWh",164 Wh/km,300 kg,50 kW,1.690 kg,"8,8 sec",288 km,€138 /km,493 L,"€41,990","€39,995","£34,995"
Tesla Model S 85D,420 km,"80,8 kWh",192 Wh/km,unknown,95 kW,2.184 kg,"4,4 sec",423 km,€225 /km,895 L,"€92,800","€96,200",N/A
Audi Q6 e-tron performance,490 km,"94,9 kWh",194 Wh/km,2.000 kg,190 kW,2.275 kg,"6,6 sec",570 km,€145 /km,590 L,"€68,800","€71,950","£63,475"
Zeekr X Long Range RWD,355 km,"64,0 kWh",180 Wh/km,1.600 kg,114 kW,1.930 kg,"5,6 sec",395 km,€126 /km,362 L,"€45,970","€43,490",N/A
Peugeot e-208 ,270 km,"46,3 kWh",171 Wh/km,0 kg,78 kW,1.530 kg,"8,1 sec",294 km,€119 /km,265 L,"€30,450","€34,900","£27,225"
Opel Corsa Electric 51 kWh,315 km,"48,1 kWh",153 Wh/km,0 kg,80 kW,1.544 kg,"8,1 sec",341 km,€124 /km,267 L,"€38,045","€37,999","£35,475"
Mercedes-Benz EQE 300,525 km,"89,0 kWh",170 Wh/km,750 kg,120 kW,2.405 kg,"7,3 sec",566 km,€137 /km,430 L,"€67,187","€69,928","£68,810"
Ford Capri Extended Range AWD,445 km,"79,0 kWh",178 Wh/km,1.200 kg,135 kW,2.174 kg,"5,3 sec",500 km,€131 /km,572 L,"€54,831","€55,850","£56,175"
Audi A6 Sportback e-tron ,485 km,"75,8 kWh",156 Wh/km,2.100 kg,150 kW,2.175 kg,"6,0 sec",587 km,€131 /km,529 L,"€62,800","€63,990",N/A
Volkswagen ID.3 Pro,360 km,"59,0 kWh",164 Wh/km,0 kg,105 kW,1.815 kg,"7,6 sec",409 km,€112 /km,385 L,"€39,995","€39,990","£35,700"
Nissan Ariya 63kWh,335 km,"63,0 kWh",188 Wh/km,750 kg,90 kW,1.980 kg,"7,5 sec",351 km,€134 /km,468 L,"€47,490","€41,990","£39,645"
Volkswagen ID. Buzz LWB Pro,370 km,"86,0 kWh",232 Wh/km,1.000 kg,145 kW,2.636 kg,"7,9 sec",407 km,€168 /km,1.340 L,"€62,719","€54,990","£59,395"
Tesla Model S Long Range Plus,555 km,"98,0 kWh",177 Wh/km,0 kg,125 kW,2.255 kg,"3,8 sec",620 km,€156 /km,894 L,"€81,990","€86,005","£79,980"
NIO ET7 Standard Range,415 km,"73,5 kWh",177 Wh/km,2.000 kg,110 kW,2.434 kg,"3,8 sec",456 km,€201 /km,363 L,"€81,900","€84,900",N/A
BMW iX2 eDrive20,395 km,"64,7 kWh",164 Wh/km,750 kg,93 kW,1.960 kg,"8,6 sec",427 km,€134 /km,525 L,"€49,400","€49,976","£51,615"
Renault 5 E-Tech 40kWh 95hp,255 km,"40,0 kWh",157 Wh/km,500 kg,0 kW,1.400 kg,"10,0 sec",182 km,€98 /km,326 L,"€24,900","* €25,000","* £22,000"
Smart #3 Brabus,335 km,"62,0 kWh",185 Wh/km,1.600 kg,100 kW,1.985 kg,"3,7 sec",372 km,€153 /km,385 L,"€50,990","€50,895","£45,450"
Smart #1 Brabus,325 km,"62,0 kWh",191 Wh/km,1.600 kg,100 kW,1.975 kg,"3,9 sec",357 km,€153 /km,328 L,"€48,990","€50,400","£43,450"
Volvo EC40 Single Motor ER,420 km,"79,0 kWh",188 Wh/km,1.500 kg,125 kW,2.095 kg,"7,3 sec",459 km,€137 /km,435 L,"€57,190","€53,495","£54,305"
Mercedes-Benz EQB 300 4MATIC,345 km,"66,5 kWh",193 Wh/km,1.700 kg,100 kW,2.165 kg,"8,0 sec",357 km,€174 /km,495 L,"€55,519","€61,379","£55,310"
Tesla Model 3 Long Range RWD,495 km,"75,0 kWh",152 Wh/km,1.000 kg,124 kW,1.825 kg,"5,9 sec",586 km,€102 /km,649 L,N/A,"€46,993","£46,990"
Ford Explorer Extended Range RWD,440 km,"79,0 kWh",180 Wh/km,1.200 kg,135 kW,2.180 kg,"8,5 sec",493 km,€105 /km,536 L,"€48,500","€43,750",N/A
XPENG G9 AWD Performance,465 km,"93,1 kWh",200 Wh/km,1.500 kg,224 kW,2.415 kg,"3,9 sec",577 km,€154 /km,731 L,"€69,600","€73,188",N/A
Mercedes-Benz B 250e ,150 km,"28,0 kWh",187 Wh/km,unknown,0 kW,1.725 kg,"7,9 sec",106 km,€256 /km,501 L,"€39,151","€42,881","£28,875"
XPENG G9 RWD Standard Range,395 km,"75,8 kWh",192 Wh/km,1.500 kg,170 kW,2.310 kg,"6,4 sec",473 km,€148 /km,731 L,"€57,600","€59,188",N/A
Hyundai IONIQ 9 Long Range RWD,495 km,"106,0 kWh",214 Wh/km,2.500 kg,195 kW,2.600 kg,"9,4 sec",559 km,€139 /km,708 L,"* €69,000","* €67,000","* £61,000"
Peugeot e-208 50 kWh,290 km,"46,3 kWh",160 Wh/km,0 kg,78 kW,1.530 kg,"9,0 sec",318 km,€126 /km,265 L,"€35,975","€35,870","£32,650"
CUPRA Born VZ,465 km,"79,0 kWh",170 Wh/km,0 kg,135 kW,1.999 kg,"5,6 sec",517 km,€110 /km,385 L,"€52,770","€49,990","£44,625"
Skoda Enyaq 85x,450 km,"77,0 kWh",171 Wh/km,1.200 kg,120 kW,2.230 kg,"6,7 sec",501 km,€119 /km,585 L,"€51,150",N/A,"£48,750"
BYD DOLPHIN 44.9 kWh Active,265 km,"44,9 kWh",169 Wh/km,0 kg,50 kW,1.650 kg,"12,3 sec",251 km,€113 /km,345 L,N/A,"€29,990","£26,195"
Volkswagen e-Golf ,125 km,"20,5 kWh",164 Wh/km,unknown,41 kW,1.585 kg,"10,4 sec",133 km,€270 /km,380 L,"€34,900","€36,190","£26,345"
Porsche Taycan ,410 km,"71,0 kWh",173 Wh/km,0 kg,183 kW,2.125 kg,"5,4 sec",517 km,€218 /km,491 L,"€88,399","€93,500","£75,500"
Mercedes-Benz EQE 350+,525 km,"90,6 kWh",173 Wh/km,750 kg,141 kW,2.355 kg,"6,4 sec",572 km,€153 /km,430 L,"€70,626","€82,028","£76,450"
Mercedes-Benz EQA 250,360 km,"66,5 kWh",185 Wh/km,750 kg,100 kW,2.040 kg,"8,9 sec",368 km,€144 /km,340 L,"€47,541","€52,899","£47,510"
Tesla Model S Performance,535 km,"98,0 kWh",183 Wh/km,0 kg,125 kW,2.307 kg,"2,6 sec",595 km,€194 /km,894 L,"€98,990","€103,005","£94,980"
Kia EV6 Standard Range 2WD,355 km,"60,0 kWh",169 Wh/km,750 kg,150 kW,1.855 kg,"8,7 sec",433 km,€127 /km,542 L,"€44,990","€44,995",N/A
Kia e-Niro 64 kWh,375 km,"64,0 kWh",171 Wh/km,0 kg,64 kW,1.812 kg,"7,8 sec",349 km,€108 /km,451 L,"€38,105","€44,995","£33,850"
MG ZS EV Standard Range,265 km,"49,0 kWh",185 Wh/km,500 kg,50 kW,1.645 kg,"8,6 sec",257 km,€132 /km,448 L,"€33,990","€35,885","£30,495"
Kia EV9 99.8 kWh AWD GT-Line,425 km,"96,0 kWh",226 Wh/km,2.500 kg,194 kW,2.664 kg,"5,3 sec",471 km,€192 /km,385 L,"€82,380","€78,795","£73,245"
Tesla Model 3 Long Range RWD,475 km,"73,5 kWh",155 Wh/km,910 kg,163 kW,1.801 kg,"5,3 sec",583 km,€114 /km,542 L,N/A,"€54,018",N/A
Kia EV9 99.8 kWh RWD,450 km,"96,0 kWh",213 Wh/km,900 kg,194 kW,2.501 kg,"9,4 sec",502 km,€160 /km,423 L,"€72,490","€68,795","£64,995"
BMW i5 eDrive40 Touring,455 km,"81,2 kWh",178 Wh/km,1.500 kg,136 kW,2.255 kg,"6,1 sec",522 km,€171 /km,570 L,"€72,200","€80,665","£69,945"
Ford Mustang Mach-E ER RWD,480 km,"91,0 kWh",190 Wh/km,1.500 kg,115 kW,2.150 kg,"5,6 sec",491 km,€126 /km,422 L,"€58,500","€54,400","£59,830"
Hyundai Kona Electric 39 kWh,245 km,"39,2 kWh",160 Wh/km,0 kg,37 kW,1.610 kg,"9,9 sec",223 km,€149 /km,332 L,"€36,400","€35,495","£32,450"
Audi Q4 e-tron 50 quattro,385 km,"76,6 kWh",199 Wh/km,1.200 kg,115 kW,2.210 kg,"6,2 sec",418 km,€168 /km,520 L,"€57,900","€71,015","£57,010"
Volkswagen ID.3 GTX,460 km,"79,0 kWh",172 Wh/km,0 kg,135 kW,1.985 kg,"5,9 sec",517 km,€112 /km,385 L,"€50,795","€51,990",N/A
XPENG P7 RWD Long Range,495 km,"82,7 kWh",167 Wh/km,0 kg,138 kW,2.095 kg,"6,7 sec",554 km,€102 /km,440 L,"€49,600","€51,188",N/A
Audi Q6 e-tron ,395 km,"75,8 kWh",192 Wh/km,2.000 kg,150 kW,2.200 kg,"7,0 sec",459 km,€167 /km,590 L,"€63,500","€65,950","£59,975"
Mazda 6e Long Range,440 km,"75,0 kWh",170 Wh/km,1.500 kg,70 kW,2.028 kg,"7,8 sec",429 km,€112 /km,400 L,"* €50,000","* €50,000","* £42,000"
NIO EL8 Long Range,440 km,"90,0 kWh",205 Wh/km,2.000 kg,190 kW,2.633 kg,"4,1 sec",524 km,€232 /km,265 L,"€103,900","€99,900",N/A
BMW i3s 120 Ah,230 km,"37,9 kWh",165 Wh/km,0 kg,47 kW,1.365 kg,"6,9 sec",214 km,€183 /km,260 L,"€42,600","€43,634","£34,805"
Lancia Ypsilon ,310 km,"48,1 kWh",155 Wh/km,0 kg,80 kW,1.561 kg,"8,2 sec",334 km,€122 /km,309 L,"* €40,000","€35,400",N/A
Polestar 2 ,390 km,"75,0 kWh",192 Wh/km,1.500 kg,108 kW,2.198 kg,"4,7 sec",419 km,€150 /km,440 L,"€57,900","€59,800","£49,900"
